"Case#","Date","Time","Description","Location","Date_Time","Notes"
"220415","2022 11 07","1414","Theft from Vehicle","West Lot",1667830440,"Notes: A CSO responded to a vehicle break-in reported in the West Lot. The CSO met with the vehicle owner who reported that when they had returned to their vehicle that day, they found the passenger window had been smashed and some money and documents had been stolen. The CSO sympathized with the owner and also recommended they file a police report with the Portland Police."
"220416","2022 11 07","1500","Fire","ETC",1667833200,"Notes: A CSO responded to an active fire alarm in the ETC. When the CSO arrived in the room which had caused the alarm to activate, they encountered hazy smoke and the odor of burning plastic. The CSO was unable to immediately identify the source of the smoke and odor and requested that Portland Fire and Rescue be contacted for assistance. Portland Fire and Rescue arrived and eventually cleared the building for re-entry, having not found any active fire or potential threat of fire in the building."
"220417","2022 11 07","1932","Theft from Vehicle","West Lot",1667849520,"Notes: A CSO responded to a report of a vehicle break-in in the West Lot. The CSO met the vehicle owner in the West Lot and observed that the vehicle had its passenger window smashed. The vehicle owner reported that vehicle related documents had been stolen from the glove compartment. Based on the similarities of this vehicle break in and those of the report received earlier in the day, and the timing of both, the CSO concluded that most likely both vehicles had been broken into during the same event. "
"220418","2022 11 08","1543","Found Property","Woodbridge",1667922180,"Notes: A CSO on patrol near Woodbridge encountered a bike parked at the bike rack but not secured. Upon questioning students in the area, the CSO learned that the bike had been parked there for approximately two weeks and no one had claimed ownership of it. The CSO moved the bike to the Community Safety secure bike storage area for safe keeping. "
"220420","2022 11 09","0124","Medical Assist - Other","Residence Hall",1667957040,"Notes: A CSO responded to a request for medical assistance in a residence hall. Upon arrival, the CSO met with a student who was worried about possible negative effects from having accidentally taken two contraindicated medications within a short period of time. The student’s condition deteriorated while the CSO was assessing them so the CSO requested American Medical Response assistance. Paramedics arrived and assessed the student, concluding that no medical intervention would be necessary. All units cleared from the scene and the CSO requested the student contact Community Safety again if they felt the need to do so."
"220421","2022 11 10","1212","No Contact Order","Campus",1668082320,"Notes: A No Contact Order was put in place between two Reed community members at the request of the Title IX Coordinator."
"220422","2022 11 10","2256","No Contact Order Violation","Campus",1668120960,"Notes: A CSO responded to a request for assistance regarding a No Contact Order violation. The CSO arrived and spoke with both parties involved. One of the parties left and the CSO resumed their normal patrol duties."
"220423","2022 11 13","0139","Alcohol Violation","GCC/Pool Hall",1668303540,"Notes: A CSO on patrol in the GCC near the pool hall encountered a student holding what appeared to be a container of alcohol. The CSO observed that the student, upon seeing the CSO, made motions as if to hide the alcohol container. The CSO approached the student and requested that they verify their age. Initially, the student stated that they were of legal drinking age, however an age verification confirmed otherwise. The student apologized for providing incorrect information, and the CSO disposed of the alcohol then continued on their patrol. "
"220404","2022 10 31","1108","Suspicious Person/Activity/Circumstances/Exclusion","Chittick",1667214480,"Notes: A CSO responded to an unauthorized individual in Chittick residence hall. Upon arrival, the CSO encountered an unknown person charging their laptop in the Chittick common room. When the CSO requested the person gather their belongings to leave, the person replied that they were a guest of a student and began asking students in the area if they would let the person stay with them. When no students intervened, the individual gathered their belongings and allowed the CSO to escort them out of the building. The CSO formally excluded the individual from Reed campus and resumed their patrol duties. "
"220406","2022 11 01","0733","Trespass","GCC",1667287980,"Notes: A CSO performing morning unlocks encountered an unknown individual in the lower level of the GCC. After a short conversation, the CSO confirmed that the unknown individual was the same individual that had been found in a residence hall, and consequently excluded from the Reed campus, the day before. Another CSO arrived on scene to assist in escorting the individual off of campus. Once the individual had left Reed property, they crossed Woodstock Blvd. and began knocking on private residence doors and attempting to turn the door knobs. CSOs then requested Dispatch notify Portland Police of the individual’s whereabouts and activity. The individual left the immediate area before Portland Police arrived and the CSOs resumed their patrol duties."
"220407","2022 11 01","1243","Information Only","Campus",1667306580,"Notes: The director of Community Safety filed abandoned vehicle reports with the Portland Police Bureau for seven vehicles parked alongside the north side of Reed campus. "
"220408","2022 11 01","1430","Trespass","Canyon",1667313000,"Notes: CSOs on vehicle patrol encountered the excluded individual that other CSOs had recently had interaction with. The CSOs again informed the individual that they were excluded from Reed campus and escorted the excluded individual off of campus."
"220409","2022 11 02","0800","Theft - Other / Trespass","GCC/Commons",1667376000,"Notes: A CSO on patrol in GCC encountered the previously reported excluded individual in Commons and observed that the individual was in the process of stealing food. The CSO requested Dispatch contact Portland Police and approached the individual. The CSO informed the individual that they were criminally trespassing and that the Portland Police had been requested. A second CSO arrived to provide back up. The individual proceeded to act in a defensive manner so the CSOs kept their distance while escorting the individual out of the building and off of campus. Once off of campus the individual began to throw property off of the neighborhood porches, attempting to hit the CS vehicle with said property. No damage was done and the CSOs cleared from the call. "
"220410","2022 11 02","1119","Student Concern","Administrative Building",1667387940,"Notes: A CSO responded to a report of concern for a student when a community member heard screaming from inside a restroom of an administrative building. Upon arrival, the CSO encountered a student engaged in conversation with two Reed faculty members. The CSO asked the student if they wanted an escort to the HCC for further care and assistance, and the student accepted the offer. Another CSO arrived with a vehicle to escort the student to the HCC, and the first CSO cleared from the call."
"220411","2022 11 02","1356","Theft - Bike","GCC/Commons",1667397360,"Notes: Dispatch received an emailed report of bike theft from a student. The student reported that their bike had been secured to the bike rack outside of Commons on the evening of October 30 and when they returned to retrieve it on October 31 the bike locks had been cut and left on the ground, and the bike was missing. The bike is white a 2019 Heybike Cityscape with a saddlebag attached to the left rear side."
"220412","2022 11 03","1137","Theft from Vehicle","East Lot",1667475420,"Notes: A student reported to the CS Dispatcher that their vehicle had been broken into while parked in the East Lot, and multiple personal belongings were missing. The student did not note any damage to the vehicle but among the items missing were a laptop, backpack, skateboard, and three jackets. The Dispatcher sympathized with the student and encouraged them to also file a police report."
"220413","2022 11 03","1948","Alcohol or Drug Related Incident","28 West",1667504880,"Notes: This report is incomplete at this time."
"220414","2022 11 06","1225","Medical Transport - Other","PAB",1667737500,"Notes: A CSO responded to a report of an injury on campus. When the CSO arrived American Medical Response was also arriving on scene and had been in contact with the injured party. The CSO remained on scene while paramedics prepared the injured party for transport to a nearby medical facility. "
"220393","2022 10 25","1029","Medical Assist - Other","Administrative building",1666693740,"Notes: A CSO responded to a request for medical assistance in an administrative building. Upon arrival, the CSO met with a Reed staff member who was with a student that was possibly experiencing a medical emergency. The student was awake and alert but feeling unwell. After conversing with the student for a bit the CSO escorted the student to the HCC for further evaluation and care."
"220394","2022 10 26","1150","Theft of Motor Vehicle","West Lot",1666785000,"Notes: Dispatch received a report from a Reed staff member that another Reed staff member’s vehicle had been stolen from the West Lot the night before. The Portland Police had been called at the time of the discovery. "
"220395","2022 10 26","1153","Theft - Bike Parts / Theft - Other","GCC/Commons",1666785180,"Notes: A Reed staff member arrived at 28 West to report that their backpack had been stolen from their work locker in Commons the night before. The staff member reported that their backpack contained approximately $500 in rain and biking gear. The staff member also stated that they believed whoever stole their backpack had at the same time also stolen the other Reed staff member’s keys from their locker and then stolen their vehicle the night before, as both theft occurrences appeared to have happened within the same couple of hours. The staff member expressed their desire for there to be video cameras installed in the parking lots."
"220396","2022 10 26","2126","Noise Complaint","Naito Hall",1666819560,"Notes: A CSO responding to a noise complaint in Naito Hall encountered loud music when entering the area about which the complaint had been made. The CSO attempted to make contact with the occupant of the room from which the noise was emanating. No response was received, but the music stopped. The CSO cleared the call and resumed their normal patrol duties."
"220397","2022 10 26","2301","Student Concern","Campus",1666825260,"Notes: A CSO responded to a report of a student possibly experiencing emotional distress on the south side of campus. The CSO had already encountered the individual they believed to be the subject of the report and had been waived off when they had attempted to approach them. The CSO circled back around to again approach the student and found a faculty member sitting with the student. After a brief conversation with the faculty member and student, the CSO departed, but left a pink resource card with the student in case it was needed."
"220398","2022 10 27","1739","Suspicious Person/Activity/Circumstances/Burglary ","Birchwood Apartments",1666892340,"Notes: A CSO responded to a report of an attempted burglary at the Birchwood apartments. The CSO spoke with the residents of the apartment, who reported that the small metal screw-in window stopper had been moved from the kitchen window frame. The residents had also observed unrepairable damage done to their window screen. They stated that it did not appear as if the apartment had been successfully entered as there had also been a stopper bar placed in the window that was still in place and no items appeared to be missing from the unit. "
"220400","2022 10 28","1446","Theft from Vehicle","North Lot",1666968360,"Notes: A CSO responded to a report of a vehicle break-in in the North Lot. The CSO met with the vehicle owner and observed that the front passenger window of the vehicle had been shattered. The vehicle owner stated that nothing had been taken to their knowledge. The CSO recommended that the vehicle owner contact their insurance agent and the Portland Police to report the damage. The CSO helped to secure a large plastic trash bag over the open window to protect the vehicle’s interior from the elements then resumed their normal patrol duties. "
"220401","2022 10 29","0148","Medical Assist - Alcohol","Residence Hall",1667008080,"Notes: A CSO responded to a request for assistance related to alcohol ingestion. Upon arrival, the CSO met with a student who was feeling unwell after ingesting alcohol. After assessing and conversing with the student for a bit, it was determined that the student was not exhibiting any signs or symptoms of alcohol or other drug overdose. The CSO cleared from the call, leaving the student in the company of their friends, some yellow resource cards, and instructions to contact Community Safety again if any further assistance was needed. "
"220402","2022 10 30","1244","Theft - Bike","Sequoia",1667133840,"Notes: A CSO responded to a report of a bike theft outside of Sequoia. The CSO met with the bike owner who stated that they had only just purchased the bike the day before and had left it secured outside at the bike rack. They had returned that day to find a broken lock and no bike. The CSO sympathized with the loss. The bike is described as a black Giant band mountain bike. "
"220403","2022 10 30","1715","Medical Assist - Other","Academic building",1667150100,"Notes: A CSO responded to a request for medical assistance at an academic building. The CSO arrived to find multiple individuals assisting another individual with a wound they had received. The CSO provided first aid supplies to those already providing assistance, and was informed that 911 had been contacted and American Medical Response was enroute to provide assistance. The CSO learned from those in the area that the individual had been exiting the building when they tripped and fell into the door frame, causing the wound. The CSO cleared the scene once the individual had been safely loaded into the ambulance for transport. "
"220387","2022 10 17","0103","Noise Complaint","Reed College Apartments (RCA)",1665968580,"Notes: A CSO responded to a noise complaint at the RCAs. The CSO spoke with the complainant and the occupant making the noise and resumed their patrol duties. "
"220389","2022 10 19","0034","Alcohol Violation","Quad",1666139640,"Notes: CSOs on patrol in the Quad encountered four students sitting at a picnic table. As the CSOs neared the students, one of the students attempted to hide what appeared to be a bottle of wine. The CSOs approached the students and requested age confirmations. One of the students confirmed that they were of legal drinking age by presenting their student ID card. Two other students initially stated that they were of legal drinking age but their ID cards showed otherwise. Before either CSO had an opportunity to ask for their ID, the fourth student excused themself to the restroom and did not return."
"220390","2022 10 20","1142","Information Only","28 West",1666266120,"Notes: Dispatch received an email from a student detailing some concerning texts they had received. Director Granger followed up with the student."
"220391","2022 10 21","2354","Alcohol Violation","GCC/Pool Hall",1666396440,"Notes: A CSO responded to a request for assistance with a stuck door at the pool hall. While there, the CSO encountered a student holding what appeared to be a can of alcohol. The CSO observed the student attempt to hide the can, so the CSO requested the student verify that they were of legal drinking age. While the student was searching their pockets for their ID card, the CSO assisted some other students with pool ball trays. When the CSO turned their attention back to the student searching for their ID, the CSO noted that that student had left the area. The CSO then exited the pool hall to perform an unlock for another student. After completing the unlock, the CSO returned to the pool hall where they again encountered the same student who had been holding the can of alcohol. At this time, the student presented their ID card which confirmed that they were not of legal drinking age.   "
"220392","2022 10 23","2157","Damage to Property","West Lot",1666562220,"Notes: A CSO on patrol in the West Lot was flagged down by a Reed student. The student stated that their vehicle had been broken into and led the CSO to their parked vehicle. The CSO observed broken glass on the ground near the vehicle and noted that the rear passenger window had been smashed out. The student stated that they had observed an unknown individual walking away from their vehicle toward a van parked nearby. The student approached their vehicle and noted that their window had been smashed. The student stated that nothing was missing from the vehicle to their knowledge. The CSO sympathized with the student and recommended the student also file a police report online. "
"220376","2022 10 11","1236","Theft - Computer","ETC",1665491760,"Notes: A CSO responded to a report of a stolen laptop from the ETC. The CSO spoke with a staff member who reported that the laptop had been stolen while it had been left momentarily unattended in an unlocked room. The staff member implemented safety protocols to render the laptop useless and also stated they would complete a police report. "
"220377","2022 10 12","0108","Candle or Incense Burning in a Residence Hall","Abington",1665536880,"Notes: A CSO on a patrol of Abington encountered the odor of incense. The CSO determined the odor was coming from one room, and made contact with the occupant. The resident stated that they were unaware they were not supposed to be burning incense in the residence hall. The CSO informed them that the incense and candle prohibitions could be found in the housing contract. The CSO bid the resident a good rest of their evening and continued on with their patrol."
"220378","2022 10 12","0151","Medical Assist - Other","Residence Hall",1665539460,"Notes: CSOs responded to a request for medical assistance in a residence hall. Upon arrival, the CSOs met with a student experiencing medical distress. After speaking with the student and attempting to reach a nurse via the Fonemed Nurse Advice line, the CSOs offered to contact American Medical Response (AMR) for further evaluation and the student agreed. AMR arrived and assessed the student and determined that further medical intervention was not necessary at that time. All units cleared from the scene and the CSOs encouraged the student to call back if their condition did not improve or worsened. Approximately thirty minutes later the student called Dispatch to request a taxi cab ride be arranged to transport the student to a nearby medical facility. "
"220379","2022 10 12","1838","Suspicious Person/Activity/Circumstances","Reed Pond",1665599880,"Notes: A CSO on patrol near the Reed Pond in the northwest quadrant encountered a space that appeared to have been used as an unsanctioned toilet area. Grounds was contacted with a request for clean up. "
"220381","2022 10 14","2028","Graffiti","Sequoia",1665779280,"Notes: A CSO responded to a report of new graffiti on the Sequoia balcony. The CSO completed a report and Building Services was contacted for removal of the graffiti."
"220382","2022 10 15","0128","Medical Amnesty/Medical Assist - Alcohol","Residence Hall",1665797280,"Notes: A CSO responded to a request for a welfare check on a student who had reportedly combined alcohol with prescription drugs. The CSO met with the student for whom the welfare check had been requested and the student confirmed that they had consumed alcohol a couple of hours beforehand, and then taken prescription medication shortly before the CSO’s arrival. The CSO confirmed that the student was not exhibiting any signs or symptoms of alcohol or other drug overdose and also confirmed that the student knew how to administer Naloxone/Narcan if the need arose. As the student had a friend with them, the CSO ensured that the friend also knew how to administer Naloxone/Narcan, and the CSO provided yellow and pink cards to the students before departing. "
"220383","2022 10 15","0439","Graffiti","Naito",1665808740,"Notes: A CSO on patrol near Naito encountered new graffiti on the pavement near the west entrance. Building Services was contacted for removal of the graffiti."
"220384","2022 10 15","0753","Unattended Alcohol or Drugs","Cross Canyon Smoking Shelter",1665820380,"Notes: A CSO heading to a call for assistance at Chittick residence hall encountered what appeared to be a case of beer sitting unattended in the smoking shelter nearby. Once the CSO had cleared from the call they returned to the smoking shelter and discovered that the box was empty. The CSO initiated an exterior patrol of the Cross Canyon residence halls and encountered a red and black bag hidden in the nearby bushes. A quick inspection revealed that the bag contained unopened beer cans. The CSO returned to 28 West with the bag to dispose of the beer. There they also discovered that the bag contained three red solo cups and a ping pong ball. "
"220385","2022 10 15","0909","Theft of Motor Vehicle","Grove Lot",1665824940,"Notes: A student reported that they had parked their vehicle in the Grove lot the night before and discovered that morning that the vehicle was missing. The student was also encouraged to file a police report. "
"220386","2022 10 16","1359","Theft from Vehicle","Grove Lot",1665928740,"Notes: A CSO responded to a report of a stolen catalytic converter from a vehicle parked in the Grove lot. The CSO met with the vehicle owner, the parent of a Reed student, who reported that at some point during the three hours their vehicle had been parked in the lot their catalytic converter had been stolen. The CSO recommended the vehicle owner also file a police report. "
"220365","2022 10 03","0018","Noise Complaint","Reed College Apartments",1664756280,"Notes: A CSO responded to a noise complaint at the Reed College Apartments. The CSO spoke with the tenant about whom the complaint was made, and the tenant apologized for disturbing their neighbor and said they would discontinue the activity causing the noise. "
"220367","2022 10 04","2009","Fire","Foster",1664914140,"Notes: A CSO responded to a fire alarm at Foster residence hall. Upon arrival, the CSO observed that residents had evacuated the building and spoke with a student holding a fire extinguisher. The student stated that they had used the extinguisher to put out a small fire in a resident’s room. The student led the CSO to the room but due to the amount of smoke in the area the CSO and student exited the building after the CSO confirmed that there was no visible fire remaining. Portland Fire arrived on scene and assessed the situation. The initial determination was that the fire was caused by burning sage or incense. After Portland Fire determined that the fire was completely extinguished and no further danger remained, building services began cleaning the room. The student who occupied the room was offered alternate housing while the room was being cleaned of fire, smoke, and fire extinguisher residue. "
"220368","2022 10 05","2343","Information Only","Doyle",1665013380,"Notes: CSOs responded to a report of the odor of incense in Doyle. The CSOs located the source of the odor and made contact with the resident. The resident confirmed that they had been burning incense and apologized for the disturbance caused by the odor. The CSOs reminded them that the housing contract prohibits burning incense or candels in dorm rooms and cleared from the call."
"220369","2022 10 06","0144","Noise Complaint","Reed College Apartments",1665020640,"Notes: A CSO responded to a noise complaint at the Reed College Apartments. The CSOs spoke to both parties involved, and the parties are working on a satisfactory resolution to the recurring problem. "
"220370","2022 10 06","2229","Information Only","GCC Pool Hall",1665095340,"Notes: A CSO on patrol of the Pool Hall encountered unattended alcohol in the Pool Hall Manager’s office. While the CSO was in the process of collecting the alcohol, a student entered and stated that it was their alcohol. The student was of legal drinking age and informed the CSO that they had been told they could store the alcohol there while they were in the pool hall but could not store it overnight. The CSO apologized for any misunderstanding and returned the alcohol to the student. "
"220371","2022 10 07","1431","Theft - Bike","Naito Hall",1665153060,"Notes: A CSO responded to a report of a bike theft at Naito Hall. The CSO met with a student who reported that they had two bikes secured to the bike rack outside of Naito Hall and both were missing. One bike is a red and blue Fuji and the other is a cream and navy colored Schwinn. The student stated that they would also file a report with the Portland Police Bureau. "
"220372","2022 10 07","1923","Medical Assist - Other","Administrative building",1665170580,"Notes: A CSO responded to a request for medical assistance at an administrative building. The CSO met with a staff member who was feeling unwell after donating blood. The CSO assessed the staff member who continued to feel unwell, and their condition deteriorated during the assessment. Dispatch contacted American Medical Response (AMR) for further medical care. AMR arrived and assessed the staff member. The paramedics recommended further care at a medical facility. The staff member declined an ambulance ride to the medical facility and stated that they would get a ride from a friend if their symptoms did not improve. "
"220373","2022 10 08","0014","Alcohol Violation","GCC Pool Hall",1665188040,"Notes: CSOs on patrol of GCC observed a student concealing a bottle of alcohol when the CSOs entered the Pool Hall. The student then exited the Pool Hall and went into the restroom. The CSOs retrieved the alcohol from where it had been placed and waited for the student to exit the restroom. The CSOs spoke with the student, after they exited the restroom, who confirmed that they were not of legal drinking age and that they were aware of the Reed alcohol policy. The CSOs disposed of the alcohol and continued on their patrol."
"220374","2022 10 08","2353","Disorderly Conduct","Student Union",1665273180,"Notes: A CSO on patrol in Central Campus sighted three students standing on the roof of the Student Union. The CSO requested the students come down off of the roof, which they did. The students apologized and the CSO continued on with their patrol. "
"220375","2022 10 09","0003","Medical Amnesty/Medical Assist - Alcohol/Alcohol Violation","Northwest quadrant Bouncy Bridge",1665273780,"Notes: The CS director responded to a request for assistance on the bouncy bridge. Upon arrival, the director met with four students, one of whom was possibly experiencing a mental health crisis. The director spoke with the student and assessed them for signs of alcohol or other drug overdose. The student stated that they had drank a little alcohol and had ingested no other substances. After conversing for a few minutes the student was able to walk to their residence with minimal assistance from their friends. The director determined that it was safe for the student to return to their residence with their friends. The director encouraged the student and their friends to call Community Safety if the student’s condition worsened and also provided them with a “green card” containing mental health resources and phone numbers. "
"220343","2022 09 26","1853","Medical Assist - Other","Residence Hall",1664218380,"Notes: A CSO responded to a request for medical assistance in a residence hall. The CSO met with the student, and while assessing and conversing with the student, the student began to feel better. The CSO confirmed that they would check back with the student later and then cleared from the call."
"220344","2022 09 26","2201","Medical Assist - Other","Residence Hall",1664229660,"Notes: CSOs responded to a request for medical assistance in a residence hall. The CSOs met with the student and after assessing the student, advised the student be seen by a medical professional for further care. Dispatch arranged for a taxi to take the student to a nearby medical facility and after the student had left the CSOs resumed their patrol duties. "
"220345","2022 09 27","0018","Noise Complaint","Reed College Apartments",1664237880,"Notes: CSOs responded to a noise complaint in the RCAs. The CSOs met with the student and attempted to contact the unit resident from which the noise was emanating, but were unsuccessful. "
"220346","2022 09 27","1603","Theft","Naito Hall",1664294580,"Notes: This report is incomplete at this time."
"220347","2022 09 27","1821","No Contact Order","28 West",1664302860,"Notes: No Contact Orders were put in place between Reed community members."
"220348","2022 09 28","0028","Damage to Property","Chemistry",1664324880,"Notes: A CSO on patrol in the Chemistry building encountered a door that appeared to have sustained damage. Upon closer inspection, the CSO observed that the bottom half of the door looked as if it had been pushed in, causing the door to sit at an odd angle and not allowing the door to properly latch. Building services was contacted for repairs. "
"220349","2022 09 27","2315","Noise Complaint","Reed College Apartments",1664320500,"Notes: A CSO responded to a noise complaint at the RCAs. After meeting with the reporting party the CSO met with the unit resident about which the complaint had been made. The CSO made the resident aware that the noises emanating from their unit were disturbing their neighbor. The resident apologized and stated they would try not to disturb the neighbor any further."
"220350","2022 09 28","1827","Medical Assist - Other","Residence Hall",1664389620,"Notes: A CSO responded to a request for medical assistance. The CSO arrived and met with the requesting party, a student, who had sustained an injury while playing soccer. The CSO assisted the student with applying and affixing an ice pack to their injury and encouraged the student to follow up for further medical care if the injury did not improve. "
"220352","2022 09 30","0055","Suspicious Person/Activity/Circumstances","Trillium",1664499300,"Notes: A CSO responded to a report of suspicious activity in the Trillium residence hall. The CSO received information from Trillium residents about unusual activity in restroom and shower areas of the residence hall, including someone potentially attempting to enter occupied areas. No people potentially responsible were identified. The CSO encouraged the reporting parties to immediately report any future suspicious activity."
"220353","2022 09 30","0255","Graffiti","Theatre Annex",1664506500,"Notes: A CSO on patrol in the northwest quadrant of campus encountered to masked individuals spray painting graffiti on the east facing exterior wall of the theatre annex. The individual ran away when the CSO attempted to make contact with them. "
"220354","2022 09 30","1327","Theft - Bike","Naito/Sullivan",1664544420,"Notes: A student contacted Dispatch to report that their bike had been stolen from where it was secured at the Naito/Sullivan bike rack. The student had last seen the bike the day before. The bike is a black CX-4."
"220355","2022 09 30","2204","Student Concern","Residence Hall",1664575440,"Notes: CSOs responded to a request for assistance in a residence hall. The CSOs arrived and met with the reporting party, and another student, who was possibly experiencing a mental health crisis. An Area Coordinator had been contacted for additional assistance and arrived shortly thereafter. The CSOs waited outside of the student’s residence until the Area Coordinator let them know that no further CS services would be needed at that time.  "
"220357","2022 10 01 ","1142","Information Only","Academic Building",1664624520,"Notes: A CSO responded to a request for medical assistance outside of an academic building. The CSO met with the requesting party who had fallen off of their bicycle and needed some first aid supplies. The CSO provided bandages and antiseptic, which the student self-administered. The student expressed a desire to be seen by medical professionals for follow-up care so the CSO offered that a local urgent care may be the student’s best option during the weekend. The student thanked the CSO for their help and the CSO cleared from the call. "
"220358","2022 10 01 ","1139","Information Only","Upper North Lot",1664624340,"Notes: A CSO responded to a report of a vehicle break in at the Upper North Lot. The CSO met with the reporting party who stated that they found the driver side door to be ajar when they arrived at the vehicle that day. Nothing appeared to have been taken from the vehicle and the CSO verified that the catalytic converter remained intact. Aside from the door being left ajar, the only evidence that someone had entered the vehicle was a pair of motorcycle gloves, not belonging to the reporting party, that had been left inside the vehicle, and tent stakes found underneath the vehicle. "
"220359","2022 10 01","1542","No Contact Order Violation","28 West",1664638920,"Notes: CS received a report of a No Contact Order violation."
"220360","2022 10 01","2133","Student Concern","Residence Hall",1664659980,"Notes: A CSO responded to a report of student concern in a residence hall. The CSO met with the student who was experiencing mental health distress and an Area Coordinator arrived shortly thereafter. The AC was familiar with the student and relayed to the CSO that they would not be needed so the CSO cleared from the call. "
"220361","2022 10 01","2358","Information Only","28 West",1664668680,"Notes: A student contacted 28 West to report that their phone had alerted them that an airtag had been tracking their vehicle’s movements. The student stated that they were unaware of any airtags they, or anyone else they knew, had applied to their vehicle. An attempt was made by CSOs and the student to locate the airtag but they were unsuccessful in their search. In the meantime, the Dispatcher advised the student to register their vehicle with Community Safety and offered additional safety information."
"220362","2022 10 02","0118","No Contact Order Violation","28 West",1664673480,"Notes: CS received a report of a No Contact Order violation."
"220363","2022 10 02","1426","Theft - Bike","Trillium",1664720760,"Notes: A CSO responded to a report of a bike theft from Trillium residence hall. The CSO met with the reporting party who stated that their bike had last been seen two days prior secured to the bike rack outside of Trillium residence hall. The bike is a blue Trek with no fenders."
"220364","2022 10 02","1430","Theft - Other","28 West",1664721000,"Notes: A student arrived at 28 West to report that the catalytic converter had been removed from their vehicle while it was parked in the West Lot. The student noted that this was the second time their catalytic converter had been stolen. The student also reported that they and some other students had recently seen a suspicious individual looking into vehicles in the West lot and provided a description of the individual. "
"220330","2022 09 19","1705","Theft from Vehicle","Grove Lot",1663607100,"Notes: A CSO responded to a report of a stolen catalytic converter from a vehicle parked in the Grove Lot. The CSO met with the vehicle owner who stated that they had parked their vehicle in the lot the night before and when they returned to the vehicle that day they discovered that their catalytic converter had been removed. They also observed damage to the vehicle’s rear hatch and driver side door handle although nothing appeared to have been taken from inside the vehicle. The vehicle owner also stated that they would contact the Portland Police to file a report with them."
"220331","2022 09 21","1529","Theft - Bike","RCAs",1663774140,"Notes: A CSO responded to a report of a bike theft from the Reed College Apartments. The bike owner stated that they had accidentally left their bike unsecured overnight outside of their apartment and when they went to retrieve it the next morning, it was gone. The bike is a turquoise MYKA brand mountain bike."
"220332","2022 09 21","1945","Graffiti","Sullivan",1663789500,"Notes: A CSO on patrol on the east side of Sullivan encountered new graffiti on the smoke shack and brick wall of the garbage enclosure. Building services has been contacted for removal of the graffiti."
"220333","2022 09 21","1937","Found Property","Sullivan",1663789020,"Notes: A CSO on exterior patrol on the east side of Sullivan found an unsecured and unattended yellow mountain bike lying on the grass near the smoke shack. The CSO transported it to 28 West for safekeeping."
"220334","2022 09 22","1353","Damage to Property","GCC",1663854780,"Notes: Dispatch received an email from a Reed staff member reporting that the vinyl mural on the wall outside of Conference Room A inside the GCC had been damaged, having had a large portion of it torn away. The staff member stated that the damage was new as of that 24 hour period."
"220335","2022 09 22","1539","Theft of Motor Vehicle","West Lot",1663861140,"Notes: A CSO responded to a report of a vehicle theft from the West Lot. The CSO met with the vehicle owner, a Reed student, who reported that they had parked the vehicle in the lot three days prior. The student provided a description of the vehicle and also stated that they would file a report with the Portland Police Bureau."
"220336","2022 09 23","2235","Graffiti","Vollum",1663972500,"Notes: A CSO on an exterior patrol of Vollum encountered new graffiti on the west facing wall. Building services has been contacted for removal of the graffiti."
"220337","2022 09 24","0020","Graffiti","GCC",1663978800,"Notes: A CSO on exterior patrol of the GCC observed through a window, two students actively writing graffiti on a door inside the building. The CSO entered the building and when they arrived at the location where the students had been standing, the students had already left but could be seen entering a restroom in the hallway near the Pool Hall. The CSO waited for the students to exit the restroom and initiated a conversation with them regarding the graffiti."
"220338","2022 09 24","0158","Suspicious Person/Activity/Circumstances","Sullivan Hall",1663984680,"Notes: A CSO responded to a report of suspicious activity in the Sullivan residence hall. The CSO met with a student who reported that while they were in the restroom in Sullivan hall, two unknown persons entered the restroom and one of them seemingly attempted to enter the stall that the reporting student was occupying. The two unknown persons then quickly left the restroom. After exiting the restroom, the reporting student told another student about the interaction and that other student then found the other two unknown persons and attempted to confront them. The two persons, who this other student stated they believed to also be students, then ran away. This report was followed up on by Community Safety managers. "
"220339","2022 09 24","1532","Suspicious Person/Activity/Circumstances","Campus",1664033520,"Notes: A CSO responded to a report of verbal harassment of a neighbor by unaffiliated high schoolers. The neighbor stated that they knew the other high schoolers based on other interactions that took place off campus. The neighbor stated that the high schoolers would shout insults at them when they saw them both on and off campus. The report also noted that the high schoolers have also harassed Reed community members and had already been excluded by Reed CSOs during a prior interaction. "
"220340","2022 09 24","1822","Medical Assist - Other","Residence Hall",1664043720,"Notes: A CSO assisted a student in using the student’s personally prescribed epi pen."
"220341","2022 09 25","0038","Medical Assist - Other","Residence Hall",1664066280,"Notes: A CSO responded to a request for medical assistance in a residence hall. The CSO arrived and assessed the injury that a student had received. The CSO provided first aid assistance and the student stated that they would follow up with the HCC the following day."
"220342","2022 09 25","2316","Harassment","28 West",1664147760,"Notes: A Reed community member reported being harassed by other Reed community members and requested a No Contact Order."
"220319","2022 09 12","1556","Graffiti","Trillium",1662998160,"Notes: A CSO on exterior patrol of Trillium encountered new graffiti on a northeast window of the building. Building services has been contacted for removal of the graffiti."
"220320","2022 09 14","1150","Damage to Property","West Lot",1663156200,"Notes: A CSO responded to a report of an attempted theft of a vehicle from the West Lot. Upon arrival, the CSO met with a Reed staff member who had observed that the ignition switch of a Reed owned van had been extensively damaged in a probable attempt to steal the vehicle. The staff member stated that the van had a dead battery which is probably what prevented the theft from being completed."
